Model,Dataset,Accuracy,ROC-AUC,F1 Score,Precision,Recall,MAE,MSE,R2
k-NN,Training,0.8319672131147541,0.9879784620109802,0.8236225089268757,0.8336183561373383,0.8319672131147541,0.3155737704918033,0.7950819672131147,0.8485558157689306
k-NN,Testing,0.48333333333333334,0.7333333333333334,0.4471175651669963,0.4495932004155688,0.4833333333333333,1.5416666666666667,5.825,-0.10952380952380958
k-NN,CV Training,0.7151639344262295,0.9243602910124007,0.6915671235369377,0.7173710317460318,0.7225676406926407,-0.5469387755102041,-1.4352891156462586,0.7157483634897848
k-NN,CV Testing,0.7666666666666667,0.9435714285714286,0.680829081632653,0.6886011904761904,0.7166071428571429,-0.5,-1.45,0.6342327459368586
Naive Bayes,Training,0.6229508196721312,0.9268245863247206,0.6213165943107771,0.6308825803048492,0.6229508196721312,0.6065573770491803,1.3114754098360655,0.7501951600312255
Naive Bayes,Testing,0.35833333333333334,0.7757142857142858,0.3263100550688209,0.3285350570128796,0.35833333333333334,1.6666666666666667,5.916666666666667,-0.12698412698412698
Naive Bayes,CV Training,0.5737704918032787,0.9053729796137752,0.5509582084582085,0.582909521034521,0.5625315656565657,-0.7153486394557823,-1.6417091836734694,0.6751405031667469
Naive Bayes,CV Testing,0.875,0.9563888888888888,0.8279988662131519,0.8473214285714284,0.8389285714285715,-0.2666666666666667,-0.7,0.8227453398045818
AdaBoost,Training,0.22745901639344263,0.6530742503935194,0.10960480952458132,0.13347458921263208,0.22745901639344263,1.6147540983606556,4.409836065573771,0.16003122560499605
AdaBoost,Testing,0.16666666666666666,0.6214285714285714,0.06543803418803419,0.040726817042606514,0.16666666666666666,1.775,5.625,-0.0714285714285714
AdaBoost,CV Training,0.2540983606557377,0.6508763005336506,0.1615932198437156,0.2140476691724098,0.26613636363636367,-1.3963010204081634,-3.528954081632653,0.29271269393617744
AdaBoost,CV Testing,0.19166666666666668,0.7377777777777779,0.10382073283858999,0.08736607142857143,0.17901785714285715,-1.8999999999999997,-6.05,-0.324461249545977
Extra Trees,Training,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Extra Trees,Testing,0.6166666666666667,0.8747619047619047,0.5945581766015202,0.621145089337309,0.6166666666666667,1.0583333333333333,3.825,0.27142857142857146
Extra Trees,CV Training,0.8770491803278688,0.9809263062924712,0.8719859550064658,0.8861507936507937,0.8785412157287158,-0.23579931972789114,-0.5926020408163265,0.8812524178500508
Extra Trees,CV Testing,0.875,0.9898809523809523,0.812641723356009,0.8306547619047618,0.8289880952380952,-0.21666666666666665,-0.5166666666666667,0.8574382363919442
XGBoost,Training,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
XGBoost,Testing,0.6166666666666667,0.8429365079365079,0.5790718657121321,0.5537748520754309,0.6166666666666667,0.8583333333333333,2.408333333333333,0.5412698412698413
XGBoost,CV Training,0.8094262295081968,0.9664788651284217,0.8052981713633803,0.8240426587301588,0.8148940295815296,-0.3868622448979592,-1.0209608843537414,0.7971854703852554
XGBoost,CV Testing,0.8166666666666667,0.9800793650793651,0.7297845804988662,0.7476190476190476,0.7671428571428571,-0.45,-1.7166666666666668,0.5918066791969749
